Recording timestamp	Event	Event value	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Recording media name	Recording media width	Recording media height	Eye movement type	Eye movement type index	Fixation point X	Fixation point Y	
1199			0.07104	0.32359	0.94353	-0.08447	0.29662	0.95125	fullstream.mp4	1920	1080	Fixation	3	980	276	
1209			0.07115	0.29893	0.95162	-0.08485	0.32162	0.94306	fullstream.mp4	1920	1080	Fixation	3	980	276	
1219			0.07010	0.32344	0.94365	-0.08446	0.29620	0.95139	fullstream.mp4	1920	1080	Fixation	3	980	276	
1229			0.07022	0.29971	0.95144	-0.08391	0.32032	0.94359	fullstream.mp4	1920	1080	Fixation	3	980	276	
1239			0.06954	0.32284	0.94389	-0.08316	0.29689	0.95128	fullstream.mp4	1920	1080	Fixation	3	980	276	
1249			0.06953	0.29885	0.95176	-0.08358	0.32126	0.94330	fullstream.mp4	1920	1080	Fixation	3	980	276	
1259			0.06882	0.32204	0.94422	-0.08304	0.29755	0.95109	fullstream.mp4	1920	1080	Fixation	3	980	276	
1269			0.06869	0.29945	0.95164	-0.08151	0.32190	0.94326	fullstream.mp4	1920	1080	Fixation	3	980	276	
1279			0.06780	0.32189	0.94435	-0.08186	0.29865	0.95085	fullstream.mp4	1920	1080	Fixation	3	980	276	
1289			0.06836	0.30045	0.95135	-0.08125	0.32144	0.94344	fullstream.mp4	1920	1080	Fixation	3	980	276	
1299			0.06978	0.32343	0.94368	-0.07892	0.29820	0.95123	fullstream.mp4	1920	1080	Fixation	3	980	276	
1309			0.05696	0.29185	0.95477	-0.08408	0.31367	0.94580	fullstream.mp4	1920	1080	Saccade	3			
1319						-0.10400	0.27059	0.95706	fullstream.mp4	1920	1080	Saccade	3			
1329			-0.00181	0.19321	0.98116				fullstream.mp4	1920	1080	Saccade	3			
1339						-0.11586	0.15248	0.98149	fullstream.mp4	1920	1080	Saccade	3			
1349			-0.01297	0.11250	0.99357				fullstream.mp4	1920	1080	Saccade	3			
1359			-0.03655	0.07721	0.99634	-0.16888	0.13307	0.97661	fullstream.mp4	1920	1080	Saccade	3			
1369			-0.03889	0.10645	0.99356	-0.20009	0.13901	0.96987	fullstream.mp4	1920	1080	Saccade	3			
1379			-0.05609	0.11194	0.99213	-0.23222	0.11973	0.96527	fullstream.mp4	1920	1080	Saccade	3			
1389			-0.06323	0.12050	0.99070				fullstream.mp4	1920	1080	Fixation	4	1135	500	
1390	SyncPortOutHigh								fullstream.mp4	1920	1080	Fixation	4	1135	500	
1399			-0.07015	0.14641	0.98673	-0.24436	0.11369	0.96300	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1409			-0.06538	0.13472	0.98872				fullstream.mp4	1920	1080	Fixation	4	1135	500	
1419			-0.06042	0.11822	0.99115	-0.23452	0.10815	0.96608	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1429			-0.06271	0.12428	0.99026	-0.20712	0.09258	0.97393	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1439			-0.05802	0.13108	0.98967	-0.20850	0.10172	0.97272	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1449			-0.07269	0.12807	0.98910	-0.20975	0.10099	0.97253	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1459						-0.21236	0.10950	0.97104	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1469			-0.08476	0.13025	0.98785	-0.21002	0.10084	0.97248	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1479						-0.21435	0.11294	0.97021	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1489			-0.08578	0.13413	0.98724	-0.21022	0.10043	0.97248	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1499						-0.21172	0.11379	0.97068	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1509			-0.07718	0.14355	0.98663	-0.20750	0.10503	0.97258	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1519			-0.06029	0.16588	0.98430	-0.20706	0.10921	0.97221	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1529			-0.05617	0.16690	0.98437	-0.20832	0.11108	0.97173	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1539			-0.05702	0.17052	0.98370	-0.20685	0.10951	0.97223	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1549			-0.05447	0.16985	0.98396	-0.20696	0.11079	0.97206	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1559			-0.05599	0.17184	0.98353	-0.20604	0.10860	0.97250	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1569			-0.05415	0.17084	0.98381	-0.20684	0.10921	0.97226	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1579			-0.05531	0.17247	0.98346	-0.20572	0.10821	0.97261	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1589			-0.05325	0.17140	0.98376	-0.20521	0.10969	0.97255	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1599			-0.05469	0.17290	0.98342	-0.20420	0.10882	0.97286	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1609			-0.05260	0.17125	0.98382	-0.20468	0.11065	0.97256	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1619			-0.05324	0.17362	0.98337	-0.20313	0.10835	0.97314	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1629			-0.04975	0.17225	0.98380	-0.20276	0.10735	0.97333	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1639			-0.05124	0.17473	0.98328	-0.20155	0.10565	0.97376	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1649			-0.04726	0.17247	0.98388	-0.20346	0.10829	0.97308	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1659			-0.05100	0.17564	0.98313	-0.20134	0.10568	0.97380	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1669			-0.04970	0.17325	0.98362	-0.20268	0.10735	0.97334	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1679			-0.05256	0.17528	0.98311	-0.20114	0.10434	0.97399	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1689			-0.05000	0.17290	0.98367	-0.20313	0.10506	0.97350	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1699			-0.05240	0.17517	0.98314	-0.20174	0.10164	0.97415	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1709			-0.05119	0.17379	0.98345	-0.20158	0.10067	0.97428	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1719			-0.05255	0.17540	0.98309	-0.20147	0.10017	0.97436	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1729			-0.04901	0.17337	0.98364	-0.20388	0.10286	0.97358	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1739			-0.05134	0.17600	0.98305	-0.20255	0.10101	0.97405	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1749			-0.04810	0.17375	0.98361	-0.20463	0.10287	0.97342	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1759			-0.05166	0.17510	0.98319	-0.20536	0.10195	0.97336	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1769			-0.05007	0.17327	0.98360	-0.20945	0.10391	0.97228	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1779			-0.05332	0.17537	0.98306	-0.20913	0.10047	0.97271	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1789			-0.05155	0.17292	0.98359	-0.20995	0.10019	0.97256	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1799			-0.05510	0.17501	0.98302	-0.21008	0.09908	0.97265	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1809			-0.05225	0.17334	0.98348	-0.21342	0.10252	0.97157	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1819			-0.05669	0.17508	0.98292	-0.21209	0.10112	0.97201	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1829			-0.05670	0.17173	0.98351	-0.21340	0.10215	0.97161	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1839			-0.06031	0.17282	0.98311	-0.21293	0.09981	0.97195	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1849			-0.05761	0.17112	0.98356	-0.21537	0.10102	0.97129	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1859			-0.06067	0.17368	0.98293	-0.21346	0.09895	0.97193	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1869			-0.05844	0.17146	0.98346	-0.21353	0.10071	0.97173	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1879			-0.06130	0.17253	0.98310	-0.21222	0.09976	0.97212	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1889			-0.05968	0.17036	0.98357	-0.21286	0.10137	0.97181	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1890	SyncPortOutLow								fullstream.mp4	1920	1080	Fixation	4	1135	500	
1899			-0.06188	0.17178	0.98319	-0.21125	0.10028	0.97227	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1909			-0.06032	0.16934	0.98371	-0.21167	0.10098	0.97211	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1919			-0.06247	0.17115	0.98326	-0.21084	0.09964	0.97243	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1929			-0.06029	0.16767	0.98400	-0.20995	0.09926	0.97266	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1939			-0.06467	0.16540	0.98410	-0.20551	0.09810	0.97373	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1949			-0.05007	0.14230	0.98856	-0.21912	0.13898	0.96575	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1959			-0.05166	0.16337	0.98521	-0.21190	0.11762	0.97019	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1969			-0.04303	0.13701	0.98963	-0.21736	0.14285	0.96558	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1979			-0.04617	0.15952	0.98611	-0.21269	0.11737	0.97004	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1989			-0.04120	0.13513	0.98997	-0.21646	0.14006	0.96619	fullstream.mp4	1920	1080	Fixation	4	1135	500	
1999			-0.04524	0.15763	0.98646	-0.21272	0.11587	0.97022	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2009			-0.04077	0.13398	0.99015	-0.21792	0.13917	0.96599	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2019			-0.04406	0.15686	0.98664	-0.21387	0.11512	0.97005	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2029			-0.04001	0.13356	0.99023	-0.21781	0.13864	0.96609	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2039			-0.04447	0.15673	0.98664	-0.21369	0.11473	0.97014	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2049			-0.04011	0.13272	0.99034	-0.21846	0.13841	0.96598	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2059			-0.04345	0.15506	0.98695	-0.21438	0.11403	0.97007	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2069			-0.03939	0.13233	0.99042	-0.21827	0.13658	0.96628	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2079			-0.04349	0.15470	0.98700	-0.21448	0.11338	0.97012	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2089			-0.03951	0.13246	0.99040	-0.21902	0.13626	0.96616	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2099			-0.04336	0.15478	0.98700	-0.21477	0.11356	0.97004	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2109			-0.03960	0.13336	0.99028	-0.21805	0.13537	0.96650	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2119			-0.04429	0.15450	0.98700	-0.21394	0.11354	0.97022	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2129			-0.04041	0.13341	0.99024	-0.21875	0.13472	0.96644	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2139			-0.04395	0.15361	0.98715	-0.21476	0.11357	0.97004	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2149			-0.04019	0.13391	0.99018	-0.21851	0.13408	0.96658	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2159			-0.04477	0.15438	0.98700	-0.21540	0.11395	0.96986	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2169			-0.04109	0.13438	0.99008	-0.22028	0.13479	0.96608	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2179			-0.04511	0.15442	0.98698	-0.21646	0.11429	0.96958	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2189			-0.04163	0.13450	0.99004	-0.22077	0.13490	0.96595	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2199			-0.04630	0.15434	0.98693	-0.21768	0.11357	0.96939	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2209			-0.04209	0.13362	0.99014	-0.22334	0.13526	0.96531	fullstream.mp4	1920	1080	Fixation	4	1135	500	
2219			-0.04345	0.15810	0.98647	-0.21435	0.11432	0.97005	fullstream.mp4	1920	1080	Saccade	4			
2229			-0.01881	0.15513	0.98771	-0.17865	0.14789	0.97273	fullstream.mp4	1920	1080	Saccade	4			
2239			0.00820	0.19749	0.98027	-0.12776	0.16780	0.97751	fullstream.mp4	1920	1080	Saccade	4			
2249			0.03323	0.20975	0.97719	-0.10434	0.20358	0.97348	fullstream.mp4	1920	1080	Saccade	4			
2259			0.05312	0.24914	0.96701	-0.09213	0.21684	0.97185	fullstream.mp4	1920	1080	Saccade	4			
2269			0.06631	0.24725	0.96668	-0.08629	0.25237	0.96378	fullstream.mp4	1920	1080	Fixation	5	978	278	
2279			0.06431	0.26921	0.96093	-0.07866	0.24249	0.96696	fullstream.mp4	1920	1080	Fixation	5	978	278	
2289			0.06850	0.25401	0.96477	-0.07992	0.26095	0.96204	fullstream.mp4	1920	1080	Fixation	5	978	278	
2299			0.06501	0.27525	0.95917	-0.07689	0.24130	0.96740	fullstream.mp4	1920	1080	Fixation	5	978	278	
2309			0.06962	0.25875	0.96343	-0.08279	0.25970	0.96213	fullstream.mp4	1920	1080	Fixation	5	978	278	
2319			0.06301	0.28048	0.95779	-0.07563	0.23902	0.96807	fullstream.mp4	1920	1080	Fixation	5	978	278	
2329			0.06901	0.26028	0.96306	-0.08069	0.25913	0.96247	fullstream.mp4	1920	1080	Fixation	5	978	278	
